"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2015.0","155.6","225.5","141.2","135.3","160.8","211.8","147.1","141.2","156.9","129.4","139.2","141.2","137.3"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2006.0","12.5","13.3","22.3","37.9","20.9","23.6","18.5","6.0","18.8","8.5","2.9","14.4","-23.9"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2007.0","-22.6","25.9","-22.5","-28.5","-8.7","-22.8","-25.1","-40.4","-33.2","-33.6","-42.1","-30.8","4.3"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2008.0","10.3","-24.2","1.8","13.9","-1.8","8.0","4.9","35.3","25.5","41.5","26.4","13.6","13.8"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2009.0","-12.9","16.7","1.7","5.4","-1.5","4.5","7.9","-31.0","-33.7","-37.7","-27.0","-29.6","-29.2"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2010.0","-11.1","-36.0","-20.7","-17.1","-12.3","-12.7","-27.4","0.6","7.6","7.6","7.4","-3.9","8.7"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2011.0","-9.3","4.7","-26.7","-28.2","-34.1","-36.9","-22.0","-1.8","15.5","7.2","9.2","23.9","-1.3"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2012.0","24.0","9.6","39.4","56.7","56.4","63.1","55.6","29.8","-3.4","12.3","0.8","-1.7","10.2"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2013.0","7.6","-1.7","-7.8","-21.6","-10.8","-2.3","-1.2","19.7","29.4","24.1","29.5","19.1","23.4"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2014.0","65.4","70.3","89.1","86.2","88.4","72.9","76.3","51.8","71.0","47.0","41.2","57.9","52.8"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","５人以上","2015.0","-22.2","20.5","-17.0","-26.1","-23.6","3.6","-28.8","-30.5","-32.3","-35.8","-26.2","-28.3","-36.8"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2005.0","85.8","69.7","72.0","70.8","87.6","82.8","97.2","88.8","84.0","93.6","88.8","90.0","104.4"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2006.0","85.9","92.4","106.8","104.4","91.2","91.2","90.0","68.5","79.2","86.4","74.4","64.8","81.6"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2007.0","72.9","71.9","69.8","57.1","71.4","72.8","69.5","67.4","72.3","71.5","82.4","87.4","81.8"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2008.0","87.3","77.2","87.1","89.8","107.1","92.8","88.2","81.2","70.3","84.1","98.1","78.3","93.7"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2009.0","117.3","125.2","136.9","121.6","122.7","105.7","111.5","95.3","101.1","110.7","122.9","118.8","135.0"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2010.0","100.0","91.2","128.3","132.0","142.2","130.0","125.7","67.4","73.4","72.5","89.6","73.6","74.2"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2011.0","98.8","104.4","105.2","116.0","109.6","95.8","100.9","92.7","86.1","86.7","100.8","92.4","94.6"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2012.0","102.5","123.3","107.0","113.8","102.4","109.2","103.5","101.2","95.8","86.2","89.4","100.9","97.6"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2013.0","104.5","106.6","104.3","102.1","114.4","110.1","97.3","107.3","98.5","99.0","103.1","99.0","112.6"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2014.0","81.7","79.8","74.4","87.6","88.1","77.8","81.4","83.3","78.1","77.6","88.5","86.4","77.6"
"所定外労働時間（総数）","J金融業・保険業","５人以上","2015.0","57.6","60.5","65.1","67.4","76.7","64.0","62.8","46.5","46.5","43.0","54.7","52.3","51.2"
"所定外労働時間（総数）（前年比）","J金融業・保険業","５人以上","2006.0","0.1","32.6","48.4","47.5","4.1","10.2","-7.4","-22.9","-5.7","-7.7","-16.2","-28.0","-21.9"
"所定外労働時間（総数）（前年比）","J金融業・保険業","５人以上","2007.0","-15.1","-22.2","-34.6","-45.3","-21.7","-20.1","-22.8","-1.6","-8.7","-17.3","10.7","35.0","0.2"
"所定外労働時間（総数）（前年比）","J金融業・保険業","５人以上","2008.0","19.8","7.4","24.7","57.2","50.0","27.4","26.9","20.5","-2.8","17.6","19.1","-10.4","14.6"
"所定外労働時間（総数）（前年比）","J金融業・保険業","５人以上","2009.0","34.3","62.1","57.1","35.3","14.6","13.9","26.4","17.4","43.8","31.6","25.3","51.7","44.1"
"所定外労働時間（総数）（前年比）","J金融業・保険業","５人以上","2010.0","-14.7","-27.1","-6.3","8.5","15.9","23.0","12.8","-29.3","-27.4","-34.5","-27.1","-38.1","-45.0"
"所定外労働時間（総数）（前年比）","J金融業・保険業","５人以上","2011.0","-1.3","14.5","-18.0","-12.1","-22.9","-26.3","-19.7","37.5","17.3","19.5","12.5","25.5","27.5"
"所定外労働時間（総数）（前年比）","J金融業・保険業","５人以上","2012.0","3.7","18.1","1.7","-1.9","-6.6","14.0","2.6","9.2","11.3","-0.6","-11.3","9.2","3.2"
