"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"所定外労働時間（総数）（前年比）","O教育，学習支援業","３０人以上","2010.0","-29.8","-25.2","-30.7","-30.4","-40.8","-55.2","-26.7","-23.4","-25.9","-11.5","-31.9","-19.7","-22.1"
"所定外労働時間（総数）（前年比）","O教育，学習支援業","３０人以上","2011.0","-30.3","-20.0","-12.0","-34.6","-60.2","20.2","-25.0","-16.8","-21.7","-42.1","-93.0","-25.6","-26.7"
"所定外労働時間（総数）（前年比）","O教育，学習支援業","３０人以上","2012.0","-19.2","-35.8","-31.7","-29.7","70.4","-39.0","-44.1","-31.5","-24.8","-23.0","769.4","-12.5","-10.7"
"所定外労働時間（総数）","P医療，福祉","３０人以上","2006.0","54.2","59.1","53.6","52.5","52.5","54.7","52.5","52.5","51.4","51.4","56.9","55.8","56.9"
"所定外労働時間（総数）","P医療，福祉","３０人以上","2007.0","72.2","62.9","66.8","81.1","87.7","75.1","68.5","73.6","65.6","73.3","72.6","70.4","68.3"
"所定外労働時間（総数）","P医療，福祉","３０人以上","2008.0","66.3","81.1","89.5","76.5","73.1","68.3","67.5","61.7","60.9","56.5","54.6","56.3","49.7"
"所定外労働時間（総数）","P医療，福祉","３０人以上","2009.0","86.2","49.1","47.3","50.1","58.3","69.0","108.8","95.0","97.1","78.2","83.9","199.5","98.5"
"所定外労働時間（総数）","P医療，福祉","３０人以上","2010.0","100.0","86.0","75.2","86.4","89.2","110.6","114.1","94.7","104.2","100.3","106.6","116.8","116.1"
"所定外労働時間（総数）","P医療，福祉","３０人以上","2011.0","117.6","122.9","114.3","104.8","132.2","131.0","116.7","110.4","112.8","106.1","122.3","120.0","117.6"
"所定外労働時間（総数）","P医療，福祉","３０人以上","2012.0","104.3","135.4","113.8","107.7","109.2","101.5","96.9","92.3","100.0","100.0","100.0","93.8","101.5"
"所定外労働時間（総数）（前年比）","P医療，福祉","３０人以上","2007.0","33.2","6.3","24.5","54.4","67.0","37.2","30.4","40.0","27.6","42.6","27.5","26.2","20.0"
"所定外労働時間（総数）（前年比）","P医療，福祉","３０人以上","2008.0","-8.1","29.0","34.0","-5.6","-16.7","-9.0","-1.4","-16.1","-7.1","-22.9","-24.7","-20.0","-27.2"
"所定外労働時間（総数）（前年比）","P医療，福祉","３０人以上","2009.0","30.0","-39.5","-47.1","-34.6","-20.2","1.1","61.0","53.9","59.3","38.5","53.6","254.2","98.1"
"所定外労働時間（総数）（前年比）","P医療，福祉","３０人以上","2010.0","15.9","75.3","58.9","72.5","53.1","60.2","4.9","-0.3","7.3","28.2","27.0","-41.5","17.9"
"所定外労働時間（総数）（前年比）","P医療，福祉","３０人以上","2011.0","17.6","43.0","52.1","21.4","48.1","18.5","2.3","16.6","8.3","5.7","14.8","2.8","1.3"
"所定外労働時間（総数）（前年比）","P医療，福祉","３０人以上","2012.0","-11.3","10.2","-0.4","2.8","-17.4","-22.5","-17.0","-16.4","-11.3","-5.7","-18.2","-21.8","-13.7"
"所定外労働時間（総数）","Q複合サービス事業","３０人以上","2006.0","130.6","139.8","97.8","118.2","97.8","123.7","111.5","97.8","96.5","118.2","127.8","127.8","309.9"
"所定外労働時間（総数）","Q複合サービス事業","３０人以上","2007.0","174.0","166.3","130.8","162.3","179.8","161.0","157.4","211.4","132.2","222.0","125.9","134.7","304.1"
"所定外労働時間（総数）","Q複合サービス事業","３０人以上","2008.0","102.3","162.7","96.3","114.9","97.6","108.5","85.3","107.8","69.2","82.5","54.9","66.9","180.4"
"所定外労働時間（総数）","Q複合サービス事業","３０人以上","2009.0","87.8","57.8","83.7","76.0","81.3","93.8","108.0","105.8","103.6","50.8","175.0","57.5","60.8"
"所定外労働時間（総数）","Q複合サービス事業","３０人以上","2010.0","100.0","117.6","154.4","139.6","209.5","68.4","57.7","57.5","53.7","138.0","49.8","87.3","66.5"
"所定外労働時間（総数）","Q複合サービス事業","３０人以上","2011.0","73.8","84.9","79.4","53.8","72.1","56.7","56.4","64.4","70.9","132.9","49.0","87.8","77.7"
"所定外労働時間（総数）","Q複合サービス事業","３０人以上","2012.0","98.0","81.5","101.9","125.9","100.0","111.1","122.2","103.7","94.4","77.8","74.1","79.6","103.7"
"所定外労働時間（総数）（前年比）","Q複合サービス事業","３０人以上","2007.0","33.3","18.9","33.7","37.3","83.9","30.1","41.2","116.3","37.1","87.8","-1.5","5.4","-1.9"
"所定外労働時間（総数）（前年比）","Q複合サービス事業","３０人以上","2008.0","-41.2","-2.2","-26.3","-29.2","-45.7","-32.6","-45.8","-49.0","-47.6","-62.8","-56.4","-50.3","-40.7"
"所定外労働時間（総数）（前年比）","Q複合サービス事業","３０人以上","2009.0","-14.1","-64.4","-13.2","-33.8","-16.8","-13.5","26.6","-1.9","49.7","-38.4","219.0","-14.1","-66.3"
"所定外労働時間（総数）（前年比）","Q複合サービス事業","３０人以上","2010.0","13.9","103.3","84.6","83.6","157.8","-27.1","-46.6","-45.6","-48.2","171.8","-71.5","51.8","9.2"
"所定外労働時間（総数）（前年比）","Q複合サービス事業","３０人以上","2011.0","-26.2","-27.8","-48.6","-61.5","-65.6","-17.1","-2.3","12.1","32.1","-3.7","-1.7","0.7","16.9"
"所定外労働時間（総数）（前年比）","Q複合サービス事業","３０人以上","2012.0","32.8","-4.0","28.3","134.0","38.7","95.9","116.7","61.0","33.1","-41.5","51.2","-9.3","33.5"
"所定外労働時間（総数）","Rサービス業（他に分類されないもの）","３０人以上","2010.0","100.0","107.9","108.9","105.8","105.8","103.7","90.1","93.2","91.1","97.4","94.2","102.6","99.5"
"所定外労働時間（総数）","Rサービス業（他に分類されないもの）","３０人以上","2011.0","81.8","90.1","80.6","83.8","77.5","79.6","75.4","74.3","71.2","91.1","85.9","84.8","86.9"
"所定外労働時間（総数）","Rサービス業（他に分類されないもの）","３０人以上","2012.0","82.4","72.9","81.3","86.5","85.4","80.2","85.4","97.9","80.2","79.2","72.9","79.2","87.5"
"所定外労働時間（総数）（前年比）","Rサービス業（他に分類されないもの）","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","Rサービス業（他に分類されないもの）","３０人以上","2011.0","-18.8","-16.5","-26.0","-20.8","-26.7","-23.2","-16.3","-20.2","-21.8","-6.5","-8.9","-17.3","-12.6"
"所定外労働時間（総数）（前年比）","Rサービス業（他に分類されないもの）","３０人以上","2012.0","0.7","-19.1","0.9","3.2","10.2","0.8","13.3","31.8","12.6","-13.1","-15.1","-6.6","0.7"
